col1,col2
591.0,0.97934299707413
592.0,0.97233599424362
593.0,0.97251898050308
594.0,0.97728699445724
595.0,0.97441601753235
596.0,0.96509397029877
597.0,0.9573820233345
598.0,0.95894002914429
599.0,0.96505701541901
600.0,0.97198301553726
601.0,0.96860098838806
602.0,0.96661800146103
603.0,0.96690398454666
604.0,0.96973502635956
605.0,0.9774289727211
606.0,0.9760320186615
607.0,0.97741502523422
608.0,0.97325801849365
609.0,0.97065198421478
610.0,0.97226899862289
611.0,0.9760599732399
612.0,0.9755010008812
613.0,0.96752899885178
614.0,0.96137899160385
615.0,0.96590501070023
616.0,0.96930700540543
617.0,0.97659701108932
618.0,0.98147600889206
619.0,0.97797298431396
620.0,0.97207301855087
621.0,0.96986800432205
622.0,0.97497099637985
623.0,0.97816401720047
624.0,0.98035502433777
625.0,0.97575497627258
626.0,0.97519600391388
627.0,0.97724097967148
628.0,0.98111301660538
629.0,0.98796802759171
630.0,0.98659199476242
631.0,0.98073601722717
632.0,0.97374701499939
633.0,0.97350800037384
634.0,0.9767649769783
635.0,0.98074799776077
636.0,0.98084002733231
637.0,0.98254001140594
638.0,0.9749950170517
639.0,0.9697949886322
640.0,0.96848899126053
641.0,0.97052800655365
642.0,0.97819197177887
643.0,0.9765499830246
644.0,0.97382402420044
645.0,0.96757698059082
646.0,0.9657329916954
647.0,0.9677169919014
648.0,0.97391998767853
649.0,0.97755897045135
650.0,0.98221999406815
651.0,0.97479599714279
652.0,0.96566498279572
653.0,0.95859998464584
654.0,0.96105498075485
655.0,0.96540600061417
656.0,0.96984499692917
657.0,0.96951401233673
658.0,0.96192401647568
659.0,0.95628798007965
660.0,0.95561802387238
661.0,0.96066701412201
662.0,0.96980202198029
663.0,0.97573101520538
664.0,0.97890597581863
665.0,0.96794998645782
666.0,0.95546799898148
667.0,0.94832301139832
668.0,0.9505569934845
669.0,0.96173000335693
670.0,0.9695760011673
671.0,0.97361397743225
672.0,0.97629499435425
673.0,0.9701229929924
674.0,0.9665139913559
675.0,0.96478402614594
676.0,0.97297501564026
677.0,0.97479498386383
678.0,0.96993398666382
679.0,0.95725202560425
680.0,0.95166802406311
681.0,0.95364797115326
682.0,0.96051400899887
683.0,0.97053498029709
684.0,0.96471899747849
685.0,0.95134001970291
686.0,0.9404000043869
687.0,0.94231098890305
688.0,0.9383630156517
689.0,0.91926699876785
690.0,0.87915802001953
691.0,0.84783601760864
692.0,0.85144001245499
693.0,0.87094300985336
694.0,0.86354398727417
695.0,0.8823099732399
696.0,0.49600100517273
697.0,0.23435899615288
698.0,0.03015529923141
699.0,0.0083096995949745
700.0,0.0022826299536973
701.0,0.00075891497544944
702.0,0.0002910699986387
703.0,0.00012316099309828
704.0,5.8555699069984e-05
705.0,2.9836499379599e-05
706.0,1.6946100004134e-05
707.0,1.0652100172592e-05
708.0,5.6087201301125e-06
709.0,2.8955300876987e-06
710.0,3.4713600598479e-06
711.0,1.9126400729874e-06
712.0,2.176630005124e-06
713.0,2.505749989723e-06
714.0,1.814069946704e-06
715.0,1.7232199525097e-06
716.0,9.5000001465451e-07
717.0,1.5297099480449e-06
718.0,1.9196700122848e-06
719.0,1.6981000499072e-06
720.0,2.0648099052778e-06
721.0,1.7647699905865e-06
722.0,1.5954600485202e-06
723.0,9.5000001465451e-07
724.0,1.9061100147155e-06
725.0,2.1472699245351e-06
726.0,2.7834898901347e-06
727.0,3.7345400869526e-06
728.0,8.589409844717e-06
729.0,1.4702000044053e-05
730.0,8.2310998550383e-06
731.0,4.1693301682244e-06
732.0,4.704159891844e-06
733.0,1.4258999954109e-06
734.0,3.1969300380297e-06
735.0,2.3651900846744e-06
736.0,2.1120399651409e-06
737.0,2.6479099233256e-06
738.0,4.4958001126361e-06
739.0,2.1300400021573e-06
740.0,5.01594013258e-06
741.0,5.0212797759741e-06
742.0,3.7868899198656e-06
743.0,4.3176501094422e-06
744.0,4.1616799535404e-06
745.0,5.1128799896105e-06
746.0,2.8934800866409e-06
747.0,3.5245700473752e-06
748.0,4.4817797970609e-06
749.0,4.9278100959782e-06
750.0,6.9197399170662e-06
751.0,5.6328199207201e-06
752.0,7.1895701694302e-06
753.0,8.7189800979104e-06
754.0,7.7830200098106e-06
755.0,1.3101300282869e-05
756.0,9.5319801403093e-06
757.0,1.0020799891208e-05
758.0,7.0858600338397e-06
759.0,8.9497898443369e-06
760.0,7.0454298111144e-06
761.0,6.8224799179006e-06
762.0,7.913809895399e-06
763.0,6.7316900640435e-06
764.0,1.0068300070998e-05
765.0,1.2719699952868e-05
766.0,1.5206400348688e-05
767.0,1.3805900380248e-05
768.0,7.8237499110401e-06
769.0,7.9619203461334e-06
770.0,7.9728697528481e-06
771.0,7.9215596997528e-06
772.0,6.9475900090765e-06
773.0,6.4180499066424e-06
774.0,5.6091198530339e-06
775.0,2.5837500743364e-06
776.0,7.0261398832372e-06
777.0,4.5599299483001e-06
778.0,6.5170402194781e-06
779.0,6.6441198214306e-06
780.0,9.3914395620232e-06
781.0,5.1264401008666e-06
782.0,9.6967996796593e-06
783.0,1.1133500265714e-05
784.0,1.4768100299989e-05
785.0,1.3974899957248e-05
786.0,8.4385201262194e-06
787.0,1.2989399692742e-05
788.0,1.5335799616878e-05
789.0,1.5210200217552e-05
790.0,1.2813199646189e-05
791.0,1.7578600818524e-05
792.0,1.5469000572921e-05
793.0,1.3100099749863e-05
794.0,1.0552899766481e-05
795.0,2.1128700609552e-05
796.0,1.6689300537109e-05
797.0,1.852020068327e-05
798.0,1.5338000594056e-05
799.0,2.0150300770183e-05
800.0,1.0220000149275e-05
801.0,9.9939798019477e-06
802.0,1.0354399819335e-05
803.0,9.7856500360649e-06
804.0,8.9900795501308e-06
805.0,8.6783002188895e-06
806.0,7.9786195783527e-06
807.0,7.6739797805203e-06
808.0,7.5242101047479e-06
809.0,6.8248800744186e-06
810.0,6.5538702074264e-06
811.0,6.0347401813488e-06
812.0,5.4278898460325e-06
813.0,5.13259010404e-06
814.0,4.7920798351697e-06
815.0,4.2847900658671e-06
816.0,4.2796700654435e-06
817.0,3.8614298318862e-06
818.0,3.6772999010282e-06
819.0,4.1179800973623e-06
820.0,4.6382501750486e-06
821.0,4.8019601308624e-06
822.0,4.9340001169185e-06
823.0,5.701680038328e-06
824.0,6.1517098401964e-06
825.0,6.1084401750122e-06
826.0,6.7503301579563e-06
827.0,6.8963299781899e-06
828.0,7.0028299887781e-06
829.0,7.1269200816459e-06
830.0,7.0191299528233e-06
831.0,7.0760002017778e-06
832.0,7.1620402195549e-06
833.0,7.1162999120133e-06
834.0,7.2689499575063e-06
835.0,7.0561100073974e-06
836.0,6.9750199145346e-06
837.0,7.0451401370519e-06
838.0,7.4375097938173e-06
839.0,7.5018101597379e-06
840.0,7.3455198617012e-06
841.0,7.1479998950963e-06
842.0,6.8448198362603e-06
843.0,6.2501399042958e-06
844.0,5.8768500821316e-06
845.0,5.5524501476611e-06
846.0,5.1683800847968e-06
847.0,4.6308700802911e-06
848.0,4.0148102016246e-06
849.0,3.7409899960039e-06
850.0,3.3074300063163e-06
851.0,2.9229800020403e-06
852.0,2.915400045822e-06
853.0,2.7066300845036e-06
854.0,2.2019999050826e-06
855.0,2.1632999960275e-06
856.0,1.7428600358471e-06
857.0,1.411340008417e-06
858.0,1.3290699598656e-06
859.0,1.1244500228713e-06
860.0,0.0
861.0,0.0
862.0,0.0
863.0,0.0
864.0,0.0
865.0,0.0
866.0,0.0
867.0,0.0
868.0,0.0
869.0,0.0
870.0,0.0
871.0,0.0
872.0,0.0
873.0,0.0
874.0,0.0
875.0,0.0
876.0,0.0
877.0,0.0
878.0,0.0
879.0,0.0
880.0,0.0
881.0,0.0
882.0,0.0
883.0,0.0
884.0,0.0
885.0,0.0
886.0,0.0
887.0,0.0
888.0,0.0
889.0,0.0
890.0,0.0
891.0,0.0
892.0,0.0
893.0,0.0
894.0,0.0
895.0,0.0
896.0,0.0
897.0,0.0
898.0,0.0
899.0,0.0
900.0,0.0
901.0,0.0
902.0,0.0
903.0,0.0
904.0,0.0
905.0,0.0
906.0,0.0
907.0,0.0
908.0,0.0
909.0,0.0
910.0,0.0
911.0,0.0
912.0,0.0
913.0,0.0
914.0,0.0
915.0,0.0
916.0,0.0
917.0,0.0
918.0,0.0
919.0,0.0
920.0,0.0
921.0,0.0
922.0,0.0
923.0,0.0
924.0,0.0
925.0,0.0
926.0,0.0
927.0,0.0
928.0,0.0
929.0,0.0
930.0,0.0
931.0,0.0
932.0,0.0
933.0,0.0
934.0,0.0
935.0,0.0
936.0,0.0
937.0,0.0
938.0,0.0
939.0,0.0
940.0,0.0
941.0,0.0
942.0,0.0
943.0,0.0
944.0,0.0
945.0,0.0
946.0,0.0
947.0,0.0
948.0,0.0
949.0,0.0
950.0,0.0
951.0,0.0
952.0,0.0
953.0,0.0
954.0,0.0
955.0,0.0
956.0,0.0
957.0,0.0
958.0,0.0
959.0,0.0
960.0,0.0
961.0,0.0
962.0,0.0
963.0,0.0
964.0,0.0
965.0,0.0
966.0,0.0
967.0,0.0
968.0,0.0
969.0,0.0
970.0,0.0
971.0,0.0
972.0,0.0
973.0,0.0
974.0,0.0
975.0,0.0
976.0,0.0
977.0,0.0
978.0,0.0
979.0,0.0
980.0,0.0
981.0,0.0
982.0,0.0
983.0,0.0
984.0,0.0
985.0,0.0
986.0,0.0
987.0,0.0
988.0,0.0
989.0,0.0
990.0,0.0
991.0,0.0
992.0,0.0
993.0,0.0
994.0,0.0
995.0,0.0
996.0,0.0
997.0,0.0
998.0,0.0
999.0,0.0
1000.0,0.0
1001.0,0.0
1002.0,0.0
1003.0,0.0
1004.0,0.0
1005.0,0.0
1006.0,0.0
1007.0,0.0
1008.0,0.0
1009.0,0.0
1010.0,0.0
1011.0,0.0
1012.0,0.0
1013.0,0.0
1014.0,0.0
1015.0,0.0
1016.0,0.0
1017.0,0.0
1018.0,0.0
1019.0,0.0
