col1,col2
542.0,0.97423702478409
542.5,0.97707897424698
543.0,0.97954702377319
543.5,0.98105698823929
544.0,0.98198401927948
544.5,0.98221600055695
545.0,0.9818400144577
545.5,0.97899001836777
546.0,0.97307097911835
546.5,0.96490699052811
547.0,0.95864802598953
547.5,0.960588991642
548.0,0.96128702163696
548.5,0.91299897432327
549.0,0.74169099330902
549.5,0.48405998945236
550.0,0.25059399008751
550.5,0.11210300028324
551.0,0.050000198185444
551.5,0.023204399272799
552.0,0.011720799840987
552.5,0.0063543599098921
553.0,0.0035888100974262
553.5,0.0021575700957328
554.0,0.0013443300267681
554.5,0.00088849797612056
555.0,0.00061258400091901
555.5,0.00042772199958563
556.0,0.00031047500669956
556.5,0.0002369260037085
557.0,0.0001804930070648
557.5,0.00014601800648961
558.0,0.00012006299948553
558.5,9.8989301477559e-05
559.0,8.7489701400045e-05
559.5,7.8780802141409e-05
560.0,7.1482398197986e-05
560.5,6.6561799030751e-05
561.0,6.3890802266542e-05
561.5,6.3704101194162e-05
562.0,6.5725798776839e-05
562.5,6.6897599026561e-05
563.0,7.1749702328816e-05
563.5,7.6176300353836e-05
564.0,8.1789898104034e-05
564.5,8.6764797742944e-05
565.0,8.6878702859394e-05
565.5,8.9377601398155e-05
566.0,8.4876803157385e-05
566.5,7.9137200373225e-05
567.0,7.36263973522e-05
567.5,6.675100303255e-05
568.0,6.1029000789858e-05
568.5,5.7988898333861e-05
569.0,5.81042986596e-05
569.5,5.6586301070638e-05
570.0,5.7439199736109e-05
570.5,6.0064601711929e-05
571.0,6.0682999901474e-05
571.5,5.9293899539625e-05
572.0,5.2973700803705e-05
572.5,4.2649200622691e-05
573.0,3.2022999221226e-05
573.5,2.2631300453213e-05
574.0,1.6483500075992e-05
574.5,1.1886399988725e-05
575.0,8.896709914552e-06
575.5,6.5847998484969e-06
576.0,4.8384999900009e-06
576.5,4.0894501580624e-06
577.0,3.6688500131277e-06
577.5,2.9420200462482e-06
578.0,2.6090199298778e-06
578.5,2.5065999125218e-06
579.0,2.1320900032151e-06
579.5,2.1658199784724e-06
580.0,2.229089886896e-06
580.5,2.0420600321813e-06
581.0,2.4890200620575e-06
581.5,2.4590299290139e-06
582.0,2.1896000816923e-06
582.5,3.3577300655452e-06
583.0,4.2808001126105e-06
583.5,5.2269701882324e-06
584.0,7.119269866962e-06
584.5,1.1011899914593e-05
585.0,1.6955000319285e-05
585.5,2.717159986787e-05
586.0,4.1531500755809e-05
586.5,5.6134998885682e-05
587.0,5.633680120809e-05
587.5,4.647699825e-05
588.0,3.5933000617661e-05
588.5,2.5887300580507e-05
589.0,2.1848300093552e-05
589.5,1.9377799617359e-05
590.0,1.8666800315259e-05
590.5,1.98261004698e-05
591.0,2.2369700673153e-05
591.5,2.7209500331082e-05
592.0,3.3661101042526e-05
592.5,3.587460014387e-05
593.0,3.4035998396575e-05
593.5,2.5229099264834e-05
594.0,1.6688600226189e-05
594.5,1.0029400073108e-05
595.0,6.879949978611e-06
595.5,4.6673899305461e-06
596.0,3.1603799470759e-06
596.5,2.3481700281991e-06
597.0,1.8769800362861e-06
597.5,1.4456600183621e-06
598.0,1.1601999858613e-06
598.5,1.1716399512807e-06
599.0,1.2572299965541e-06
599.5,9.5000001465451e-07
600.0,1.0708299669204e-06
600.5,9.5000001465451e-07
601.0,9.691559625935e-07
601.5,1.244359964403e-06
602.0,1.4770499774386e-06
602.5,1.4289299770098e-06
603.0,1.5916399433991e-06
603.5,1.9684100607265e-06
604.0,2.1435901089717e-06
604.5,2.7608200525719e-06
605.0,3.4670299555728e-06
605.5,4.7261501094908e-06
606.0,6.3963098000386e-06
606.5,9.8549498943612e-06
607.0,1.4706300135003e-05
607.5,2.2256599550019e-05
608.0,3.3131800591946e-05
608.5,4.3477801227709e-05
609.0,5.1027698646067e-05
609.5,5.04298004671e-05
610.0,4.7277400881285e-05
610.5,4.2927400500048e-05
611.0,3.9408998418367e-05
611.5,4.0495400753571e-05
612.0,4.3781801650766e-05
612.5,4.8915600928012e-05
613.0,5.6243599829031e-05
613.5,6.7189102992415e-05
614.0,7.7465898357332e-05
614.5,8.027270087041e-05
615.0,7.3446797614451e-05
615.5,5.9881898778258e-05
616.0,4.6357599785551e-05
616.5,3.36917983077e-05
617.0,2.5449100576225e-05
617.5,2.0302699340391e-05
618.0,1.6461699487991e-05
618.5,1.5062500096974e-05
619.0,1.3374599802773e-05
619.5,1.1965000339842e-05
620.0,1.1444300071162e-05
620.5,1.1433699910413e-05
621.0,1.1953599823755e-05
621.5,1.2707600035355e-05
622.0,1.4401500266104e-05
622.5,1.5591200281051e-05
623.0,1.8934499166789e-05
623.5,2.2379799702321e-05
624.0,2.7567000870476e-05
624.5,3.5832501453115e-05
625.0,4.258400076651e-05
625.5,5.4686199291609e-05
626.0,6.2788400100544e-05
626.5,7.0265501562972e-05
627.0,6.8810899392702e-05
627.5,6.6606902692001e-05
628.0,6.0635898989858e-05
628.5,5.4327301768353e-05
629.0,4.9021200538846e-05
629.5,4.3599200580502e-05
630.0,4.0128699765773e-05
630.5,3.8673599192407e-05
631.0,3.6310400901129e-05
631.5,3.6725501558976e-05
632.0,3.7051100662211e-05
632.5,3.7963098293403e-05
633.0,3.9698599721305e-05
633.5,4.1009898268385e-05
634.0,4.313160025049e-05
634.5,4.5527100155596e-05
635.0,4.632000127458e-05
635.5,4.9004298489308e-05
636.0,5.0152000767412e-05
636.5,5.2457999117905e-05
637.0,5.3117601055419e-05
637.5,5.7098499382846e-05
638.0,5.6742701417534e-05
638.5,5.9663499996532e-05
639.0,6.103579653427e-05
639.5,6.3724903156981e-05
640.0,6.5068998083007e-05
640.5,6.4915700932033e-05
641.0,6.6850901930593e-05
641.5,6.5329499193467e-05
642.0,6.3185099861585e-05
642.5,5.858630174771e-05
